编码,名称,年份,季度,日期,ROE,净利润率,净利润同比增长率,资产负债率,现金流比率,市净率,市净率相对值,股价
sz.301007,德迈仕,2023,1,2023-05-29,0.012626,0.058702,-0.279968,0.331812,0.29863,3.091093,0.05905461110915661,12.69
sz.301008,宏昌科技,2023,1,2023-05-29,0.009316,0.066242,-0.082889,0.310839,-0.081847,2.083295,0.02705402719692439,26.99
sz.301009,可靠股份,2023,1,2023-05-29,0.008171,0.035079,7.949747,0.264769,0.065023,2.410278,0.03701808033564305,12.09
sz.301010,晶雪节能,2023,1,2023-05-29,0.005057,0.038922,0.023387,0.521476,-0.702285,2.68864,0.10383815743305873,20.1
sz.301011,华立科技,2023,1,2023-05-29,0.008985,0.036748,2.651612,0.437639,0.157669,5.422944,0.22306561241982548,30.85
sz.301012,扬电科技,2023,1,2023-05-29,0.000796,0.006344,-0.97946,0.32439,0.044585,4.633264,0.0748118469066871,24.53
sz.301013,利和兴,2023,1,2023-05-29,0.004527,0.0453,1.367185,0.394843,0.078995,3.465411,0.18757703689153898,13.04
sz.301015,百洋医药,2023,1,2023-05-29,0.051802,0.070889,0.387396,0.528407,0.091526,6.119257,0.11111720649670026,28.25
sz.301016,雷尔伟,2023,1,2023-05-29,0.004913,0.101464,-0.764923,0.135589,-1.265117,2.399089,0.028869459144035704,19.61
sz.301017,漱玉平民,2023,1,2023-05-29,0.028515,0.0321,0.344175,0.71037,0.027298,3.443107,0.08409792575062541,18.3
sz.301018,申菱环境,2023,1,2023-05-29,0.020593,0.09015,0.151293,0.462802,-0.069532,4.036377,0.12706703016560125,37.09
sz.301019,宁波色母,2023,1,2023-05-29,0.018572,0.198314,-0.24254,0.059227,0.007822,2.39466,0.020096192186232233,21.22
sz.301020,密封科技,2023,1,2023-05-29,0.021425,0.152871,-0.09259,0.206757,0.174335,3.393621,0.04686253661906749,20.32
sz.301021,英诺激光,2023,1,2023-05-29,-0.005028,-0.089855,-1.394292,0.078458,0.110392,3.909334,0.07205889353133367,25.41
sz.301022,海泰科,2023,1,2023-05-29,0.00981,0.085034,-0.288587,0.35432,-0.079631,2.264146,0.048384476566169544,32.13
sz.301023,江南奕帆,2023,1,2023-05-29,0.016748,0.367016,-0.302761,0.078393,-0.158326,2.725903,0.037900535128249764,42.0
sz.301024,霍普股份,2023,1,2023-05-29,-0.010612,-0.117931,0.737946,0.166126,-0.281941,2.498362,0.0944560433306524,24.55
sz.301025,读客文化,2023,1,2023-05-29,0.009173,0.057949,-0.205871,0.167984,-0.055774,8.009419,0.11072785883026381,13.25
sz.301026,浩通科技,2023,1,2023-05-29,0.034636,0.110093,0.0503,0.232725,-0.472178,3.169324,0.07005213830453706,40.11
sz.301027,华蓝集团,2023,1,2023-05-29,-0.001958,-0.01722,-1.136031,0.458081,0.068113,1.918181,0.019613577105863055,12.44
sz.301028,东亚机械,2023,1,2023-05-29,0.032005,0.169231,-0.171438,0.276232,0.166518,3.369888,0.06831340268000169,10.86
sz.301029,怡合达,2023,1,2023-05-29,0.058641,0.228932,0.594874,0.194605,-0.117084,8.95674,0.01880767753009107,43.82
sz.301030,仕净科技,2023,1,2023-05-29,0.026023,0.060366,1.916035,0.660881,-0.185418,4.258594,0.4763978436327948,47.5
sz.301031,中熔电气,2023,1,2023-05-29,0.038117,0.140426,-0.021168,0.380938,-0.069623,9.675156,0.06599482656383383,126.99
sz.301032,新柴股份,2023,1,2023-05-29,0.001562,0.002015,-0.774883,0.604321,-0.082049,1.864409,0.06838394308579278,8.3
sz.301033,迈普医学,2023,1,2023-05-29,0.012888,0.175709,0.093306,0.162055,0.436872,4.98287,0.08372547316553083,46.04
sz.301035,润丰股份,2023,1,2023-05-29,0.029141,0.086624,-0.507283,0.392896,-0.196503,3.37536,0.23064530126945798,77.5
sz.301036,双乐股份,2023,1,2023-05-29,-8.1e-05,-0.000398,-1.004707,0.210512,-0.075668,1.211679,0.03699444967574908,18.66
sz.301037,保立佳,2023,1,2023-05-29,-0.018525,-0.027226,-3.179973,0.650341,0.152757,2.140957,0.051790727789057175,17.39
sz.301038,深水规院,2023,1,2023-05-29,-0.015468,-0.133945,0.725045,0.48883,-0.159631,4.398416,0.6126553377032016,21.97
sz.301039,中集车辆,2023,1,2023-05-29,0.037131,0.071769,2.667817,0.401077,0.113753,1.847434,0.315986403715065,12.02
sz.301040,中环海陆,2023,1,2023-05-29,0.003828,0.024981,-0.758168,0.387363,-0.33201,2.100526,0.04063960146268897,20.81
sz.301041,金百泽,2023,1,2023-05-29,0.006264,0.02587,5.934016,0.234873,0.08618,6.356655,0.3876369057539718,37.99
sz.301042,安联锐视,2023,1,2023-05-29,0.00184,0.016937,-0.841708,0.081709,-0.06738,1.869369,0.020194257388610987,31.8
sz.301043,绿岛风,2023,1,2023-05-29,0.02299,0.160457,3.763823,0.257831,0.291338,2.491696,0.06613686108217966,29.1
sz.301045,天禄科技,2023,1,2023-05-29,0.00493,0.031082,-0.79184,0.154881,-0.053914,3.130343,0.1489188244885283,26.09
sz.301046,能辉科技,2023,1,2023-05-29,0.005507,0.056317,-0.651659,0.319884,-0.570798,6.136352,0.0764387525501928,31.61
sz.301047,义翘神州,2023,1,2023-05-29,0.013056,0.532799,-0.267421,0.029174,0.211573,1.896857,0.0011906268154088587,94.72
sz.301048,金鹰重工,2023,1,2023-05-29,0.029048,0.105961,-0.098207,0.50988,0.194579,2.707277,0.11178231530787032,11.55
sz.301049,超越科技,2023,1,2023-05-29,-0.011732,-0.210218,-2.215518,0.286149,-0.420484,2.194712,0.0392942252498747,20.48
sz.301050,雷电微力,2023,1,2023-05-29,0.037455,0.364592,-0.163723,0.410925,-0.291149,4.932497,0.004040788149390356,69.14
